month,visitors,orders,AOV,GMV,gross_margin,marketing_cost,contribution
1,10000,200.00,500,100000.00,40000.00,16000.00,24000.00
2,12000,240.00,500,120000.00,48000.00,19200.00,28800.00
3,14400,288.00,500,144000.00,57600.00,23040.00,34560.00
4,17280,345.60,500,172800.00,69120.00,27648.00,41472.00
5,20736,414.72,500,207360.00,82944.00,33177.60,49766.40
6,24883.20,497.66,500,248832.00,99532.80,39813.12,59719.68
7,29859.84,597.20,500,298598.40,119439.36,47775.74,71663.62
8,35831.81,716.64,500,358318.08,143327.23,57330.89,85996.35
9,42998.17,859.96,500,429981.70,171992.68,68797.07,103195.61
10,51597.80,1031.96,500,515978.04,206391.21,82556.49,123834.72
11,61917.36,1238.35,500,619173.64,247669.46,99067.78,148601.67
12,74301.04,1486.02,500,743008.37,297203.35,118881.34,178322.01
TOTAL, , , ,4282291.33,1482612.29,548447.95,934164.34
